crash_record_id,crash_date,posted_speed_limit,traffic_control_device,device_condition,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,report_type,prim_contributory_cause,street_direction,num_units,injuries_total,crash_hour,crash_day_of_week,crash_month,intersection_related_i,hit_and_run_i,lane_cnt,has_injuries,num_bikes_involved,num_pedestrians_involved,num_extricated,num_ejected
7a63945a9bae12c05dee82c1962bf40f23cdd02ca655d7b26177ce2da80f97842e37b9a0b1e2c45edbe4657d98b1b18c56d306d30ec9ab85af363006671c427d,2021-08-01 03:42:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,DISREGARDING OTHER TRAFFIC SIGNS,S,2,0.0,3,Sunday,August,,,,0,0.0,0.0,0.0,0.0
d207ce72f4348fa06dddcd98628d0dec81d4f195cb8d8b936f79f3b1f91a52ec6439a613b58fa0f74d8903e0282449f2f14ed55d0ee45d52d38de5ce2e898640,2021-08-01 02:41:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),DISREGARDING TRAFFIC SIGNALS,N,2,1.0,2,Sunday,August,Y,Y,,1,0.0,0.0,0.0,0.0
bba4db7cfef29230aa5d24f6b8912a2539b5d6f481a94e31f4ff4ad9f80e6c070e27ddcc1035b06b9764293f2fd4a286e5478a2dd7ecc58d255ca0e62cf2cafc,2021-08-01 02:26:00,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,IMPROPER TURNING/NO SIGNAL,S,2,0.0,2,Sunday,August,,,,0,0.0,0.0,0.0,0.0
1e39110c6e01fd2f24e282cd610eb90d6f98a6241ab193c2059b1241cfb335a4eb411a6c001789a5b4a7d4278e43e5d5323d855ec593331ac94ee22a0241a42f,2021-08-01 02:22:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,UNABLE TO DETERMINE,S,2,1.0,2,Sunday,August,N,Y,,1,0.0,0.0,0.0,0.0
d20d9db8a88fc227d48392b45380ae57898e5fcdcda7dbb01a0db328b51090a1f353299f924102376927d636cb8844a3a8016776da4ae81e856f11a4a7112dd7,2021-08-01 02:08:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,IMPROPER LANE USAGE,W,3,2.0,2,Sunday,August,,Y,,1,0.0,0.0,0.0,0.0
3df631366a6bab2835890850d941a5080a6dee6e3f38370525c43b1ee681c9b15cd8f03cc39184be54bc2d588fa7b7cc104bf7e1a21394a32934be4bbb33496a,2021-08-01 01:47:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,IMPROPER TURNING/NO SIGNAL,S,2,0.0,1,Sunday,August,,,,0,0.0,0.0,0.0,0.0
d96a6cf24536772ac465479d77f3fbe768b108479378151e3aa6e9b6f8ecf1bb8d7c5cf5e3db6f39531703499334e9e72b988a19be313bc4dd3dd5af03f5610a,2021-08-01 01:40:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,FAILING TO YIELD RIGHT-OF-WAY,W,2,0.0,1,Sunday,August,Y,,,0,0.0,0.0,0.0,0.0
12cdabbb2928dc253c7f65e17c2428195b85d8c98784b3531bf00e976f1e76162effbdf6eab13d20e747613c371ef0a947fc3cd4b857579b711f7ecba1a8791d,2021-08-01 01:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,FAILING TO YIELD RIGHT-OF-WAY,W,2,0.0,1,Sunday,August,Y,,,0,0.0,0.0,0.0,0.0
366359deb634fde88ebe27e8a99fb9e3fe4fde68b314b193101db7168f5c57dc93c017e22067ad08c0e98d045dbbaef39be74cc7425063f387a53a05fe87bc9a,2021-08-01 01:27:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,IMPROPER BACKING,W,2,0.0,1,Sunday,August,,Y,,0,0.0,0.0,0.0,0.0
faac87c1a54fe9076ff10af7d63cdf0b449ebdbec628e6990b03ae44613fab499b20860a7931512fa7d8d510a39300ebb81de06df634e602e083506787ea152e,2021-08-01 01:10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),UNABLE TO DETERMINE,W,2,0.0,1,Sunday,August,,,,0,0.0,0.0,0.0,0.0
445a8dbfc85535359e3024e1ddd3aea7e4b470461aeb54bdefba545e813f9a15346b0f3de15ec7708733f6bbb17c71d6d49b15e282383418dbf104dd50447c8b,2021-08-01 01:00:00,30,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,UNABLE TO DETERMINE,N,2,0.0,1,Sunday,August,,Y,,0,0.0,0.0,0.0,0.0
